source_index,target_index,source_value,target_value,source_stream,target_stream,spatial_weight
9,158,11,176,first_order_odd,mixed_even_composite,0.06691863387823105
10,12,12,14,mixed_even_composite,mixed_even_composite,0.3943939507007599
10,22,12,24,mixed_even_composite,mixed_even_composite,0.3944322466850281
11,15,13,17,first_order_odd,first_order_odd,0.1720852553844452
11,24,13,26,first_order_odd,mixed_even_composite,0.20377801358699799
11,50,13,52,first_order_odd,mixed_even_composite,0.11046122014522552
11,62,13,64,first_order_odd,pure_even_lift,0.10483104735612869
11,99,13,104,first_order_odd,mixed_even_composite,0.08351323008537292
11,152,13,169,first_order_odd,lpf_odd_composite,0.07108193635940552
12,16,14,18,mixed_even_composite,mixed_even_composite,0.30620241165161133
12,26,14,28,mixed_even_composite,mixed_even_composite,0.3944322466850281
13,19,15,21,lpf_odd_composite,lpf_odd_composite,0.2530830204486847
13,28,15,30,lpf_odd_composite,mixed_even_composite,0.2791227400302887
14,30,16,32,pure_even_lift,pure_even_lift,0.3944321870803833
15,17,17,19,first_order_odd,first_order_odd,0.17029020190238953
15,32,17,34,first_order_odd,mixed_even_composite,0.20663148164749146
15,66,17,68,first_order_odd,mixed_even_composite,0.1127343475818634
15,119,17,128,first_order_odd,pure_even_lift,0.0912904217839241
15,126,17,136,first_order_odd,mixed_even_composite,0.08486385643482208
16,18,18,20,mixed_even_composite,mixed_even_composite,0.3742882311344147
16,34,18,36,mixed_even_composite,mixed_even_composite,0.3944322466850281
17,21,19,23,first_order_odd,first_order_odd,0.3287240266799927
17,36,19,38,first_order_odd,mixed_even_composite,0.19893136620521545
17,74,19,76,first_order_odd,mixed_even_composite,0.10841674357652664
17,138,19,152,first_order_odd,mixed_even_composite,0.08259675651788712
18,20,20,22,mixed_even_composite,mixed_even_composite,0.40466055274009705
18,38,20,40,mixed_even_composite,mixed_even_composite,0.39443233609199524
19,23,21,25,lpf_odd_composite,lpf_odd_composite,0.270312637090683
19,40,21,42,lpf_odd_composite,mixed_even_composite,0.2791251540184021
20,22,22,24,mixed_even_composite,mixed_even_composite,0.3170962929725647
20,42,22,44,mixed_even_composite,mixed_even_composite,0.3944321870803833
21,27,23,29,first_order_odd,first_order_odd,0.21190595626831055
21,44,23,46,first_order_odd,mixed_even_composite,0.19826626777648926
21,90,23,92,first_order_odd,mixed_even_composite,0.10817191749811172
22,24,24,26,mixed_even_composite,mixed_even_composite,0.3378139138221741
22,46,24,48,mixed_even_composite,mixed_even_composite,0.3944321274757385
23,25,25,27,lpf_odd_composite,lpf_odd_composite,0.37670809030532837
23,48,25,50,lpf_odd_composite,mixed_even_composite,0.27619481086730957
24,26,26,28,mixed_even_composite,mixed_even_composite,0.3848831057548523
24,50,26,52,mixed_even_composite,mixed_even_composite,0.3944322466850281
25,31,27,33,lpf_odd_composite,lpf_odd_composite,0.2830720543861389
25,52,27,54,lpf_odd_composite,mixed_even_composite,0.27911731600761414
26,28,28,30,mixed_even_composite,mixed_even_composite,0.4081025719642639
26,54,28,56,mixed_even_composite,mixed_even_composite,0.39443233609199524
27,29,29,31,first_order_odd,first_order_odd,0.30554765462875366
27,56,29,58,first_order_odd,mixed_even_composite,0.20113345980644226
27,108,29,116,first_order_odd,mixed_even_composite,0.10927635431289673
28,32,30,34,mixed_even_composite,mixed_even_composite,0.34136712551116943
28,58,30,60,mixed_even_composite,mixed_even_composite,0.3944324254989624
29,35,31,37,first_order_odd,first_order_odd,0.21444891393184662
29,60,31,62,first_order_odd,mixed_even_composite,0.19724415242671967
29,116,31,124,first_order_odd,mixed_even_composite,0.10780642926692963
30,62,32,64,pure_even_lift,pure_even_lift,0.3944322466850281
31,33,33,35,lpf_odd_composite,lpf_odd_composite,0.36112555861473083
31,64,33,66,lpf_odd_composite,mixed_even_composite,0.2791084349155426
32,34,34,36,mixed_even_composite,mixed_even_composite,0.39088770747184753
32,66,34,68,mixed_even_composite,mixed_even_composite,0.3944322466850281
33,37,35,39,lpf_odd_composite,lpf_odd_composite,0.3068934381008148
33,68,35,70,lpf_odd_composite,mixed_even_composite,0.27658623456954956
34,36,36,38,mixed_even_composite,mixed_even_composite,0.4096386134624481
34,70,36,72,mixed_even_composite,mixed_even_composite,0.3944321870803833
35,39,37,41,first_order_odd,first_order_odd,0.2448899745941162
35,72,37,74,first_order_odd,mixed_even_composite,0.20025819540023804
35,136,37,148,first_order_odd,mixed_even_composite,0.10892452299594879
36,38,38,40,mixed_even_composite,mixed_even_composite,0.3320580720901489
36,74,38,76,mixed_even_composite,mixed_even_composite,0.3944321870803833
