node_index,value,stream_kind,domain,axis,dyadic_depth,least_prime_factor,cofactor,source_prime_index,x_number_magnitude,y_stream_kind,z_axis_depth
92,94,mixed_even_composite,E,E1,1,,47,14,0.7155088186264038,1.0,0.01352846622467041
93,95,lpf_odd_composite,O,O3,0,5,19,2,0.7202237844467163,0.3333333432674408,0.30794477462768555
94,96,mixed_even_composite,E,E5,5,,3,1,0.7248895168304443,1.0,0.4101986885070801
95,98,mixed_even_composite,E,E1,1,7,49,3,0.7340768575668335,1.0,0.024216175079345703
96,99,lpf_odd_composite,O,O2,0,3,33,1,0.738600492477417,0.3333333432674408,0.1850574016571045
97,100,mixed_even_composite,E,E2,2,5,25,2,0.7430785894393921,1.0,0.1148226261138916
98,102,mixed_even_composite,E,E1,1,3,51,1,0.7519019842147827,1.0,0.0344846248626709
99,104,mixed_even_composite,E,E3,3,,13,5,0.7605541944503784,1.0,0.2145627737045288
100,105,lpf_odd_composite,O,O2,0,3,35,1,0.7648179531097412,0.3333333432674408,0.20002222061157227
101,106,mixed_even_composite,E,E1,1,,53,15,0.7690415382385254,1.0,0.044365525245666504
102,108,mixed_even_composite,E,E2,2,3,27,1,0.7773700952529907,1.0,0.1342250108718872
103,110,mixed_even_composite,E,E1,1,5,55,2,0.7855459451675415,1.0,0.053887009620666504
104,111,lpf_odd_composite,O,O2,0,3,37,1,0.7895783185958862,0.3333333432674408,0.21417760848999023
105,112,mixed_even_composite,E,E4,4,,7,3,0.793574333190918,1.0,0.3298608064651489
106,114,mixed_even_composite,E,E1,1,3,57,1,0.8014607429504395,1.0,0.06307435035705566
107,115,lpf_odd_composite,O,O3,0,5,23,2,0.8053522109985352,0.3333333432674408,0.3556787967681885
108,116,mixed_even_composite,E,E2,2,,29,9,0.809209942817688,1.0,0.15228807926177979
109,117,lpf_odd_composite,O,O2,0,3,39,1,0.8130347728729248,0.3333333432674408,0.2276068925857544
110,118,mixed_even_composite,E,E1,1,,59,16,0.8168268203735352,1.0,0.07195019721984863
111,119,lpf_odd_composite,O,O4,0,7,17,3,0.8205868005752563,0.3333333432674408,0.5421724319458008
112,120,mixed_even_composite,E,E3,3,3,15,1,0.8243155479431152,1.0,0.24952292442321777
113,121,lpf_odd_composite,O,O5,0,11,11,4,0.8280133008956909,0.3333333432674408,0.6978291273117065
114,122,mixed_even_composite,E,E1,1,,61,17,0.831680417060852,1.0,0.08053505420684814
115,123,lpf_odd_composite,O,O2,0,3,41,1,0.8353177309036255,0.3333333432674408,0.24038076400756836
116,124,mixed_even_composite,E,E2,2,,31,10,0.8389256000518799,1.0,0.16918516159057617
117,125,lpf_odd_composite,O,O3,0,5,25,2,0.842504620552063,0.3333333432674408,0.37663495540618896
118,126,mixed_even_composite,E,E1,1,3,63,1,0.8460549116134644,1.0,0.08884727954864502
119,128,pure_even_lift,E,E7,7,,1,6,0.853071928024292,-1.0,0.5708744525909424
120,129,lpf_odd_composite,O,O2,0,3,43,1,0.8565393686294556,0.3333333432674408,0.25256025791168213
