dimensionless_frequency,hawking_spectrum_normalized,tne_spectrum_proxy_normalized
4.5625,0.7047131966285213,0.021913556301571022
4.65546875,0.6815720696432409,0.021520029673732795
4.7484375,0.6584577198833668,0.021143513617627563
4.8414062499999995,0.6354444568311672,0.020783020265813086
4.934375,0.6125998794602505,0.020437638053792284
5.02734375,0.5899851135732329,0.020106524532244065
5.1203125,0.5676550720296923,0.01978889997764518
5.21328125,0.5456587326837983,0.019484041699746595
5.3062499999999995,0.5240394293725251,0.019191278958864397
5.39921875,0.5028351517941925,0.018909988418148022
5.4921875,0.48207885059046307,0.018639590066309986
5.58515625,0.4617987443909381,0.018379543555038087
5.678125,0.4420186259968035,0.018129344902747077
5.7710937499999995,0.422758165267915,0.017888523522662063
5.8640625,0.40403320663605313,0.017656639538642663
5.95703125,0.38585605949604823,0.017433281356803252
6.05,0.36823578002665197,0.017218063464971987
6.14296875,0.3511784432652637,0.01701062443547613
6.2359374999999995,0.33468740450599305,0.01681062510970554
6.32890625,0.3187635493103088,0.016617746945481824
6.421875,0.3034055316150765,0.016431690510492036
6.51484375,0.2886099995955746,0.016252174106983406
6.6078125,0.27437180909264547,0.016078932514611212
6.7007812499999995,0.26068422454499135,0.01591171583980447
6.79375,0.24753910748133084,0.01575028846131051
6.88671875,0.23492709272418114,0.015594428062710235
6.9796875,0.2228377525389014,0.015443924743691932
7.07265625,0.21125974902975242,0.015298580202748576
7.1656249999999995,0.20018097514042574,0.0151582069847351
7.25859375,0.18958868466108722,0.01502262778740392
7.3515625,0.1794696116786484,0.014891674821642224
7.44453125,0.1698100799328686,0.014765189220667463
7.5375,0.16059610255904982,0.014643020493914267
7.6304687499999995,0.1518134727094815,0.014525026021765235
7.7234375,0.14344784555132198,0.014411070587657317
7.81640625,0.13548481213908342,0.014301025944428187
7.909375,0.12790996565605525,0.014194770412065998
8.00234375,0.12070896051153979,0.014092188504295874
8.0953125,0.11386756477027883,0.013993170581673459
8.18828125,0.10737170637747183,0.013897612529072588
8.28125,0.1012075136278053,0.013805415455646031
8.37421875,0.0953613503103653,0.013716485415512875
8.4671875,0.08981984594355535,0.013630733147580669
8.56015625,0.08456992149554385,0.013548073833052914
8.653125,0.07959881096658973,0.013468426869299449
8.74609375,0.07489407919010001,0.013391715658880006
8.8390625,0.07044363618968107,0.013317867412618967
8.93203125,0.06623574840992379,0.013246812965719218
9.025,0.06225904711938349,0.013178486605991996
9.11796875,0.05850253426529663,0.013112825913354892
9.2109375,0.054955586041124195,0.013049771609821827
9.30390625,0.0516079544101213,0.012989267419271991
9.396875,0.04844976681085704,0.012931259936344945
9.48984375,0.04547152425401409,0.012875698503859893
9.5828125,0.04266409800391238,0.012822535098208293
9.67578125,0.04001872502305265,0.0127717242222122
9.76875,0.03752700234358639,0.012723222804981662
9.86171875,0.0351808805159839,0.012676990108342643
9.9546875,0.03297265627230071,0.012632987639440327
10.04765625,0.03089496452932368,0.012591179069154503
10.140625,0.028940769845494985,0.012551530155994283
10.23359375,0.02710335743485779,0.012514008675162674
10.3265625,0.02537632383130927,0.012478584352511625
10.41953125,0.02375356728717206,0.012445228803124785
10.5125,0.022229277981471892,0.01241391547429219
10.60546875,0.02079792810531187,0.012384619592656831
10.6984375,0.019454261884337326,0.01235731811533345
10.79140625,0.018193285591454916,0.012331989684816294
10.884375,0.017010257596682,0.012308614587508072
10.97734375,0.015900678495225015,0.012287174715718522
11.0703125,0.014860281349589166,0.012267653532993571
11.16328125,0.013885022076680985,0.012250036042651125
11.25625,0.012971070006447608,0.012234308759408953
11.34921875,0.012114798634579175,0.012220459684006186
11.4421875,0.011312776588154341,0.012208478280726822
11.53515625,0.010561758819808698,0.012198355457747912
11.628125,0.009858678043029352,0.01219008355024309
11.72109375,0.009200636418499527,0.012183656306182561
11.8140625,0.008584897499015897,0.012179068874781653
11.90703125,0.00800887843835523,0.012176317797556298
12.0,0.007470142467556138,0.01217540100195681
