seed,scenario,epochs,accuracy,cross_entropy,brier_score,mean_confidence,predictive_entropy,expected_calibration_error,mean_reconstruction_rmse,mean_local_rbm_free_energy,mean_global_rbm_free_energy,local_rbm_reconstruction_rmse,global_rbm_reconstruction_rmse,active_clusters,closure_status,residual_l2,final_validation_loss,final_validation_accuracy
1,remove_color,6,0.5,1.328567624092102,0.1799764186143875,0.2923685312271118,1.3802380561828613,0.20763146877288818,0.08790670086940129,-4.178564071655273,-11.835421562194824,0.12378863245248795,0.19217565655708313,12.0,open,1.8154823184016013,1.204421877861023,0.5
1,remove_sound,6,0.5,1.2056257724761963,0.1630798578262329,0.3214726150035858,1.3606541156768799,0.178527370095253,0.16049193342526755,-4.11795711517334,-11.836099624633789,0.1594344824552536,0.19203896820545197,12.0,open,1.668939972647035,1.204421877861023,0.5
1,remove_vision,6,0.5,1.2590903043746948,0.17099562287330627,0.305786669254303,1.3720399141311646,0.19421333074569702,0.14972245444854101,-4.14754056930542,-11.83599853515625,0.14315743744373322,0.19205836951732635,12.0,open,1.6972964858735402,1.204421877861023,0.5
1,sound_phase_shift,6,0.5,1.2066868543624878,0.16305005550384521,0.32493945956230164,1.3600198030471802,0.17506052553653717,0.16540507972240448,-4.1085405349731445,-11.834775924682617,0.16424117982387543,0.19231386482715607,12.0,open,1.6352079725959816,1.204421877861023,0.5
1,vision_occlusion,6,0.5,1.2273390293121338,0.16645826399326324,0.31476181745529175,1.366304874420166,0.18523818254470825,0.1557117054859797,-4.128663063049316,-11.835801124572754,0.15373696386814117,0.19210052490234375,12.0,open,1.651178746767479,1.204421877861023,0.5
1,color_channel_permutation,6,0.25,1.4030088186264038,0.19007070362567902,0.3026885390281677,1.3758115768432617,0.052688539028167725,0.15590454638004303,-4.1511335372924805,-11.834946632385254,0.14101232588291168,0.19227595627307892,12.0,open,1.7101550909834686,1.204421877861023,0.5
2,clean,6,0.5,1.0785341262817383,0.14597967267036438,0.3789222836494446,1.316330909729004,0.12490640580654144,0.14767798533042273,-3.987830877304077,-11.857830047607422,0.20899717509746552,0.18986806273460388,12.0,open,1.547432509295764,1.07937753200531,0.5
2,gaussian_0.05,6,0.5,1.0818426609039307,0.14668399095535278,0.3778112828731537,1.3174312114715576,0.12892860174179077,0.14624597877264023,-3.9967753887176514,-11.857708930969238,0.20540842413902283,0.1898929625749588,12.0,open,1.5447849810719902,1.07937753200531,0.5
2,gaussian_0.15,6,0.5,1.097814917564392,0.14955618977546692,0.37274301052093506,1.3218913078308105,0.14031004905700684,0.14383943130572638,-4.023265361785889,-11.857369422912598,0.1943884640932083,0.1899629384279251,12.0,open,1.5480513658686708,1.07937753200531,0.5
2,remove_color,6,0.5,1.241963505744934,0.16823342442512512,0.32070064544677734,1.3688724040985107,0.17929935455322266,0.10068682084480922,-4.110480785369873,-11.850624084472656,0.15240760147571564,0.19136515259742737,12.0,open,1.7224083191814652,1.07937753200531,0.5
