radius,radius_kpc,observed_velocity,observed_velocity_kms,velocity_uncertainty,velocity_uncertainty_kms,tne_prediction,baseline_prediction,flat_baseline_prediction,linear_baseline_prediction,smoothed_empirical_reference,tne_residual,baseline_residual,galaxy_id,best_arm_mode,baseline_winner,source_status
0.4762817441303306,9.94,0.9338235294117647,127.0,0.018823529411764708,2.56,0.90041619016603,0.8569192397746089,0.7867647058823529,0.8569192397746089,0.9411764705882353,-0.03340733924573469,-0.07690428963715579,NGC2403,4,linear_rotation_baseline,fetched
0.5476760900814566,11.43,0.9558823529411765,130.0,0.008308823529411764,1.13,0.9867348589784708,0.8939320183521697,0.7867647058823529,0.8939320183521697,0.9558823529411764,0.03085250603729428,-0.061950334589006784,NGC2403,4,linear_rotation_baseline,fetched
0.6190704360325826,12.92,0.9779411764705882,133.0,0.019705882352941177,2.68,0.9860924249539427,0.9309447969297306,0.7867647058823529,0.9309447969297306,0.9705882352941175,0.008151248483354467,-0.04699637954085756,NGC2403,4,linear_rotation_baseline,fetched
0.6904647819837086,14.41,0.9779411764705882,133.0,0.018823529411764708,2.56,0.9508584903501975,0.9679575755072913,0.7867647058823529,0.9679575755072913,0.980392156862745,-0.027082686120390664,-0.009983600963296868,NGC2403,4,linear_rotation_baseline,fetched
0.7858169621466219,16.4,0.9852941176470589,134.0,0.017279411764705883,2.35,0.967767957781847,1.017390749580678,0.7867647058823529,1.017390749580678,0.9877450980392155,-0.017526159865211888,0.03209663193361911,NGC2403,4,linear_rotation_baseline,fetched
0.8572113080977479,17.89,1.0,136.0,0.046911764705882354,6.38,1.0089823378263532,1.054403528158239,0.7867647058823529,1.054403528158239,0.9901960784313726,0.00898233782635316,0.0544035281582389,NGC2403,4,linear_rotation_baseline,fetched
0.9286056540488739,19.38,0.9852941176470589,134.0,0.04602941176470588,6.26,1.033683305194647,1.0914163067357996,0.7867647058823529,1.0914163067357996,0.9901960784313726,0.04838918754758814,0.10612218908874071,NGC2403,4,linear_rotation_baseline,fetched
1.0,20.87,0.9852941176470589,134.0,0.022941176470588236,3.12,1.033683305194647,1.1284290853133605,0.7867647058823529,1.1284290853133605,0.6568627450980392,0.04838918754758814,0.14313496766630163,NGC2403,4,linear_rotation_baseline,fetched
0.007259528130671507,0.32,0.1554140127388535,24.4,0.2286624203821656,35.9,0.6115063782880497,0.6505234755275336,0.7941878980891719,0.6505234755275336,0.1484076433121019,0.4560923655491962,0.4951094627886802,NGC3198,4,linear_rotation_baseline,fetched
0.021778584392014518,0.96,0.2898089171974522,45.5,0.10254777070063695,16.1,0.6115063782880497,0.6572166889417919,0.7941878980891719,0.6572166889417919,0.2944798301486199,0.32169746109059744,0.36740777174433964,NGC3198,4,linear_rotation_baseline,fetched
