Iterations,Approximated Pi,Actual Pi,Difference
292001,3.1415960782356036,3.141592653589793,3.42464581049029e-06
293001,3.141596066547432,3.141592653589793,3.4129576387265104e-06
294001,3.1415960549387747,3.141592653589793,3.4013489815798437e-06
295001,3.1415960434088195,3.141592653589793,3.389819026367036e-06
296001,3.141596031956764,3.141592653589793,3.378366971062974e-06
297001,3.1415960205818294,3.141592653589793,3.3669920362910943e-06
298001,3.14159600928324,3.141592653589793,3.355693446671637e-06
299001,3.141595998060225,3.141592653589793,3.344470431709823e-06
300001,3.14159598691202,3.141592653589793,3.3333222266840323e-06
301001,3.1415959758378986,3.141592653589793,3.3222481055084074e-06
302001,3.1415959648371135,3.141592653589793,3.3112473203367188e-06
303001,3.1415959539089457,3.141592653589793,3.3003191526326248e-06
304001,3.1415959430526685,3.141592653589793,3.289462875422089e-06
305001,3.141595932267575,3.141592653589793,3.278677781715089e-06
306001,3.1415959215529736,3.141592653589793,3.267963180508815e-06
307001,3.141595910908181,3.141592653589793,3.257318387905883e-06
308001,3.141595900332511,3.141592653589793,3.2467427177884645e-06
309001,3.141595889825291,3.141592653589793,3.2362354978054952e-06
310001,3.141595879385857,3.141592653589793,3.2257960640436067e-06
311001,3.1415958690135533,3.141592653589793,3.215423760138947e-06
312001,3.141595858707735,3.141592653589793,3.205117941718072e-06
313001,3.1415958484677673,3.141592653589793,3.1948779741775013e-06
314001,3.1415958382930333,3.141592653589793,3.184703240233233e-06
315001,3.141595828182892,3.141592653589793,3.1745930990645377e-06
316001,3.1415958181367416,3.141592653589793,3.1645469484864464e-06
317001,3.141595808153971,3.141592653589793,3.1545641778762956e-06
318001,3.141595798233998,3.141592653589793,3.1446442050331314e-06
319001,3.141595788376201,3.141592653589793,3.1347864077879706e-06
320001,3.1415957785800193,3.141592653589793,3.1249902261443196e-06
321001,3.1415957688448777,3.141592653589793,3.1152550845625626e-06
322001,3.1415957591702064,3.141592653589793,3.1055804132762432e-06
