index,prime,gap,motif,run,domain
504,3607,14.0,E2.2,19,E2
505,3613,6.0,E2.0,121,E2
506,3617,4.0,E1.1,99,E1
507,3623,6.0,E2.0,122,E2
508,3631,8.0,E1.2,47,E1
509,3637,6.0,E2.0,123,E2
510,3643,6.0,E2.0,124,E2
511,3659,16.0,E1.3,12,E1
512,3671,12.0,E3.0,38,E3
513,3673,2.0,E1.0,98,E1
514,3677,4.0,E1.1,100,E1
515,3691,14.0,E2.2,20,E2
516,3697,6.0,E2.0,125,E2
517,3701,4.0,E1.1,101,E1
518,3709,8.0,E1.2,48,E1
519,3719,10.0,E2.1,49,E2
520,3727,8.0,E1.2,49,E1
521,3733,6.0,E2.0,126,E2
522,3739,6.0,E2.0,127,E2
523,3761,22.0,E2.4,7,E2
524,3767,6.0,E2.0,128,E2
525,3769,2.0,E1.0,99,E1
526,3779,10.0,E2.1,50,E2
527,3793,14.0,E2.2,21,E2
528,3797,4.0,E1.1,102,E1
529,3803,6.0,E2.0,129,E2
530,3821,18.0,E2.3,10,E2
531,3823,2.0,E1.0,100,E1
532,3833,10.0,E2.1,51,E2
533,3847,14.0,E2.2,22,E2
534,3851,4.0,E1.1,103,E1
535,3853,2.0,E1.0,101,E1
536,3863,10.0,E2.1,52,E2
537,3877,14.0,E2.2,23,E2
538,3881,4.0,E1.1,104,E1
539,3889,8.0,E1.2,50,E1
540,3907,18.0,E2.3,11,E2
541,3911,4.0,E1.1,105,E1
542,3917,6.0,E2.0,130,E2
543,3919,2.0,E1.0,102,E1
544,3923,4.0,E1.1,106,E1
545,3929,6.0,E2.0,131,E2
546,3931,2.0,E1.0,103,E1
547,3943,12.0,E3.0,39,E3
548,3947,4.0,E1.1,107,E1
549,3967,20.0,E3.1,5,E3
550,3989,22.0,E2.4,8,E2
551,4001,12.0,E3.0,40,E3
552,4003,2.0,E1.0,104,E1
553,4007,4.0,E1.1,108,E1
554,4013,6.0,E2.0,132,E2
555,4019,6.0,E2.0,133,E2
556,4021,2.0,E1.0,105,E1
557,4027,6.0,E2.0,134,E2
558,4049,22.0,E2.4,9,E2
559,4051,2.0,E1.0,106,E1
560,4057,6.0,E2.0,135,E2
561,4073,16.0,E1.3,13,E1
562,4079,6.0,E2.0,136,E2
563,4091,12.0,E3.0,41,E3
564,4093,2.0,E1.0,107,E1
565,4099,6.0,E2.0,137,E2
566,4111,12.0,E3.0,42,E3
567,4127,16.0,E1.3,14,E1
568,4129,2.0,E1.0,108,E1
569,4133,4.0,E1.1,109,E1
570,4139,6.0,E2.0,138,E2
571,4153,14.0,E2.2,24,E2
572,4157,4.0,E1.1,110,E1
573,4159,2.0,E1.0,109,E1
574,4177,18.0,E2.3,12,E2
575,4201,24.0,E4.0,3,E4
576,4211,10.0,E2.1,53,E2
577,4217,6.0,E2.0,139,E2
578,4219,2.0,E1.0,110,E1
579,4229,10.0,E2.1,54,E2
580,4231,2.0,E1.0,111,E1
581,4241,10.0,E2.1,55,E2
582,4243,2.0,E1.0,112,E1
583,4253,10.0,E2.1,56,E2
584,4259,6.0,E2.0,140,E2
585,4261,2.0,E1.0,113,E1
586,4271,10.0,E2.1,57,E2
587,4273,2.0,E1.0,114,E1
588,4283,10.0,E2.1,58,E2
589,4289,6.0,E2.0,141,E2
590,4297,8.0,E1.2,51,E1
591,4327,30.0,E2.6,1,E2
592,4337,10.0,E2.1,59,E2
593,4339,2.0,E1.0,115,E1
594,4349,10.0,E2.1,60,E2
595,4357,8.0,E1.2,52,E1
596,4363,6.0,E2.0,142,E2
597,4373,10.0,E2.1,61,E2
598,4391,18.0,E2.3,13,E2
599,4397,6.0,E2.0,143,E2
600,4409,12.0,E3.0,43,E3
601,4421,12.0,E3.0,44,E3
602,4423,2.0,E1.0,116,E1
603,4441,18.0,E2.3,14,E2
604,4447,6.0,E2.0,144,E2
605,4451,4.0,E1.1,111,E1
606,4457,6.0,E2.0,145,E2
607,4463,6.0,E2.0,146,E2
608,4481,18.0,E2.3,15,E2
609,4483,2.0,E1.0,117,E1
610,4493,10.0,E2.1,62,E2
611,4507,14.0,E2.2,25,E2
612,4513,6.0,E2.0,147,E2
613,4517,4.0,E1.1,112,E1
614,4519,2.0,E1.0,118,E1
615,4523,4.0,E1.1,113,E1
616,4547,24.0,E4.0,4,E4
617,4549,2.0,E1.0,119,E1
618,4561,12.0,E3.0,45,E3
619,4567,6.0,E2.0,148,E2
620,4583,16.0,E1.3,15,E1
621,4591,8.0,E1.2,53,E1
622,4597,6.0,E2.0,149,E2
623,4603,6.0,E2.0,150,E2
624,4621,18.0,E2.3,16,E2
625,4637,16.0,E1.3,16,E1
626,4639,2.0,E1.0,120,E1
627,4643,4.0,E1.1,114,E1
628,4649,6.0,E2.0,151,E2
629,4651,2.0,E1.0,121,E1
630,4657,6.0,E2.0,152,E2
631,4663,6.0,E2.0,153,E2
632,4673,10.0,E2.1,63,E2
633,4679,6.0,E2.0,154,E2
634,4691,12.0,E3.0,46,E3
635,4703,12.0,E3.0,47,E3
636,4721,18.0,E2.3,17,E2
637,4723,2.0,E1.0,122,E1
638,4729,6.0,E2.0,155,E2
639,4733,4.0,E1.1,115,E1
640,4751,18.0,E2.3,18,E2
641,4759,8.0,E1.2,54,E1
642,4783,24.0,E4.0,5,E4
643,4787,4.0,E1.1,116,E1
644,4789,2.0,E1.0,123,E1
645,4793,4.0,E1.1,117,E1
646,4799,6.0,E2.0,156,E2
647,4801,2.0,E1.0,124,E1
648,4813,12.0,E3.0,48,E3
649,4817,4.0,E1.1,118,E1
650,4831,14.0,E2.2,26,E2
651,4861,30.0,E2.6,2,E2
652,4871,10.0,E2.1,64,E2
653,4877,6.0,E2.0,157,E2
654,4889,12.0,E3.0,49,E3
655,4903,14.0,E2.2,27,E2
656,4909,6.0,E2.0,158,E2
657,4919,10.0,E2.1,65,E2
658,4931,12.0,E3.0,50,E3
659,4933,2.0,E1.0,125,E1
660,4937,4.0,E1.1,119,E1
661,4943,6.0,E2.0,159,E2
662,4951,8.0,E1.2,55,E1
663,4957,6.0,E2.0,160,E2
664,4967,10.0,E2.1,66,E2
665,4969,2.0,E1.0,126,E1
666,4973,4.0,E1.1,120,E1
667,4987,14.0,E2.2,28,E2
668,4993,6.0,E2.0,161,E2
669,4999,6.0,E2.0,162,E2
670,5003,4.0,E1.1,121,E1
671,5009,6.0,E2.0,163,E2
672,5011,2.0,E1.0,127,E1
673,5021,10.0,E2.1,67,E2
674,5023,2.0,E1.0,128,E1
675,5039,16.0,E1.3,17,E1
676,5051,12.0,E3.0,51,E3
677,5059,8.0,E1.2,56,E1
678,5077,18.0,E2.3,19,E2
679,5081,4.0,E1.1,122,E1
680,5087,6.0,E2.0,164,E2
681,5099,12.0,E3.0,52,E3
682,5101,2.0,E1.0,129,E1
683,5107,6.0,E2.0,165,E2
684,5113,6.0,E2.0,166,E2
685,5119,6.0,E2.0,167,E2
686,5147,28.0,E3.2,3,E3
687,5153,6.0,E2.0,168,E2
688,5167,14.0,E2.2,29,E2
689,5171,4.0,E1.1,123,E1
690,5179,8.0,E1.2,57,E1
691,5189,10.0,E2.1,68,E2
692,5197,8.0,E1.2,58,E1
693,5209,12.0,E3.0,53,E3
694,5227,18.0,E2.3,20,E2
695,5231,4.0,E1.1,124,E1
696,5233,2.0,E1.0,130,E1
697,5237,4.0,E1.1,125,E1
698,5261,24.0,E4.0,6,E4
699,5273,12.0,E3.0,54,E3
700,5279,6.0,E2.0,169,E2
701,5281,2.0,E1.0,131,E1
702,5297,16.0,E1.3,18,E1
703,5303,6.0,E2.0,170,E2
704,5309,6.0,E2.0,171,E2
705,5323,14.0,E2.2,30,E2
706,5333,10.0,E2.1,69,E2
707,5347,14.0,E2.2,31,E2
708,5351,4.0,E1.1,126,E1
709,5381,30.0,E2.6,3,E2
710,5387,6.0,E2.0,172,E2
711,5393,6.0,E2.0,173,E2
712,5399,6.0,E2.0,174,E2
713,5407,8.0,E1.2,59,E1
714,5413,6.0,E2.0,175,E2
715,5417,4.0,E1.1,127,E1
716,5419,2.0,E1.0,132,E1
717,5431,12.0,E3.0,55,E3
718,5437,6.0,E2.0,176,E2
719,5441,4.0,E1.1,128,E1
720,5443,2.0,E1.0,133,E1
721,5449,6.0,E2.0,177,E2
722,5471,22.0,E2.4,10,E2
723,5477,6.0,E2.0,178,E2
724,5479,2.0,E1.0,134,E1
725,5483,4.0,E1.1,129,E1
726,5501,18.0,E2.3,21,E2
727,5503,2.0,E1.0,135,E1
728,5507,4.0,E1.1,130,E1
729,5519,12.0,E3.0,56,E3
