day,avg_relative_entropy
112,6.552819981165216e-07
113,7.004941547174332e-07
114,6.16657305942967e-07
115,5.131358642239988e-07
116,6.188424193045269e-07
117,5.663682077384327e-07
118,6.28077637949457e-07
119,6.401662956352164e-07
120,6.873789359579096e-07
121,7.340295834802473e-07
122,7.068088468968954e-07
123,7.300454105600645e-07
124,7.244368565969982e-07
125,6.715966794118723e-07
126,6.240272311906909e-07
127,7.196187802708713e-07
128,7.481893810291455e-07
129,8.519110090406898e-07
130,9.134460625298167e-07
131,8.969477923523061e-07
132,8.169543448867874e-07
133,8.120490605797523e-07
134,9.116108477337554e-07
135,1.1025732435051324e-06
136,9.43418997429582e-07
137,1.1077698398850253e-06
138,1.0376199128007282e-06
139,1.0968339512735728e-06
140,1.022211179348895e-06
141,8.778355755119254e-07
142,9.458208771849101e-07
143,9.03604661396701e-07
144,8.430586045193108e-07
145,8.880524060037712e-07
146,7.618182176780755e-07
147,1.097551188855483e-06
148,1.0279408756455199e-06
149,1.0976524190682272e-06
150,1.1473177774991868e-06
151,9.616645796544862e-07
152,1.0404209925506254e-06
153,1.1903414032063286e-06
154,1.0715914541049814e-06
155,9.146516194895209e-07
156,1.0661968818858856e-06
157,1.2484805266286294e-06
158,1.1430651001650759e-06
159,1.4014401912952217e-06
160,1.3412732665032187e-06
161,1.3882178596243418e-06
162,1.4533010806187021e-06
163,1.7842260878913695e-06
164,1.6763284142025577e-06
165,1.6107366746721267e-06
166,1.5779756606366594e-06
167,1.542300904200779e-06
168,1.8762955939477432e-06
169,2.2542887825773414e-06
170,2.638890237108405e-06
171,2.013596999607219e-06
172,1.985657099638398e-06
173,2.1545137043462133e-06
174,2.439557180867706e-06
175,2.397507024419805e-06
176,2.3051481898009844e-06
177,2.200588489083383e-06
178,2.7939059552227525e-06
179,2.0883060863539876e-06
180,2.3487839562872895e-06
181,2.5670115846403817e-06
182,2.988217865880243e-06
183,3.6468163455644944e-06
184,5.0607983794469505e-06
185,4.907525345773577e-06
186,5.886131812983347e-06
187,4.547676127456559e-06
188,5.6924044681923405e-06
189,5.212059303833017e-06
190,6.702155891836585e-06
191,5.927846018439991e-06
192,5.830145378828629e-06
193,5.347787560957805e-06
194,5.986986843255477e-06
195,6.3566039948753985e-06
196,7.672632726960807e-06
197,8.974903586412355e-06
198,1.2964962303486297e-05
199,1.2414537650598155e-05
200,1.1252854286235431e-05
201,1.4342637497149968e-05
202,1.4916927276653524e-05
203,1.2679324148340968e-05
204,1.2734228203827287e-05
205,1.6240305521530906e-05
206,1.4444766157536234e-05
207,1.3917151820968395e-05
208,1.6150243186202017e-05
209,2.0337431010672392e-05
210,3.552565330531624e-05
211,2.938240774387942e-05
212,2.5455306812425952e-05
213,3.019326611557924e-05
214,3.3250727997950024e-05
215,5.106358818151421e-05
216,0.00011356155210467576
217,0.00016739935505707257
218,0.0001856662840698163
219,0.00015005230077328762
220,0.00024555473963751577
221,0.0005491254669290532
222,0.009331849944686102
223,0.016276087049713957
224,-1.424195771354651
225,0.00549385361831663
226,0.2748285805664689
227,0.006724629470953959
228,0.125155614498029
229,-0.38065986584069095
230,0.009931756567327718
231,0.00015616129623829655
232,0.00035182592364817395
233,0.0004363839311754732
234,0.0003317337677385604
235,0.00035928463492128165
236,0.0014338708323511434
237,0.0006383398275578121
238,0.00019725185209987085
239,0.000308566701215686
240,0.00010196435310966011
241,7.085261206756718e-05
242,9.165657892342412e-05
243,5.683664256814649e-05
244,4.084587903498935e-05
245,4.9720086171093995e-05
246,3.991486075712031e-05
247,3.007834093446304e-05
248,2.9644664673799513e-05
249,3.644703422354738e-05
250,6.030021223709645e-05
251,3.1381259955294354e-05
252,2.530741893184132e-05
253,1.629892971971157e-05
254,1.7265054777272543e-05
255,1.269661091706784e-05
256,1.4834870568053326e-05
257,1.519877615487471e-05
258,1.8811219132751763e-05
259,1.9008599145579167e-05
260,1.7207063067661875e-05
261,1.5451160242494077e-05
262,1.213951250450451e-05
263,1.4372444950090272e-05
264,1.535733491228965e-05
265,1.7693280711947903e-05
266,1.2993922602379332e-05
267,1.1266546079630827e-05
268,1.5198412697277581e-05
269,1.370523673798058e-05
270,1.4539008143260212e-05
271,1.3851624878239312e-05
272,1.674050349309118e-05
273,1.4351108129812242e-05
274,1.406678896609437e-05
275,1.4996134401905097e-05
276,1.4262889666250357e-05
277,1.8456069484999664e-05
278,1.6617424804842246e-05
279,1.4273795618608646e-05
280,1.5782172358683433e-05
281,1.6818635796486515e-05
282,1.7319626713232425e-05
283,1.648335945311607e-05
284,2.2526442865980566e-05
285,1.93240980918931e-05
286,2.0845544773314626e-05
287,2.330138791193874e-05
288,2.0924149560052238e-05
289,1.8694515100296686e-05
290,2.5129616440587014e-05
291,2.593343274526495e-05
292,3.217540767799464e-05
293,3.1892608512023355e-05
294,1.6890618082223616e-05
295,1.992024082211428e-05
296,1.92384116705372e-05
297,2.0449415509024804e-05
298,2.1970189880984323e-05
299,2.948106587522015e-05
300,3.430552767520583e-05
301,2.9399147903920937e-05
302,3.730252059332714e-05
303,3.76147040960933e-05
304,9.010770765642021e-05
305,4.6008051071908744e-05
306,5.8944677522383666e-05
307,7.99682008882519e-05
308,0.00011018015026392011
309,0.00017713176525197997
310,0.0002283500314783974
311,0.00016088302640627976
312,0.0001080085650823133
313,0.00010225862881498902
314,8.209965504656911e-05
315,8.880868086462596e-05
316,0.00036459743762636416
317,0.00044005154264945706
318,0.00044825011580546285
319,0.0004556976317821167
320,0.0002411801299045364
321,0.0006118633179394952
